trade_date,close,open,high,low,vol,pct_chg
20140507,2927.31,2933.08,2954.67,2917.69,5.69K,-0.31
20140508,2896.82,2900.83,2946.72,2868.19,5.39K,-1.04
20140509,2852.93,2889.18,2893.75,2836.75,4.29K,-1.52
20140610,2983.15,2959.32,2989.49,2947.75,3.75K,0.69
20140611,2975.7,2976.7,2986.22,2966.87,3.31K,-0.25
20140612,2936.53,2963.77,2963.77,2926.38,3.86K,-1.32
20140613,2953.3,2933.88,2962.82,2924.58,4.17K,0.57
20140616,2939.09,2951.73,2955.03,2918.49,4.86K,-0.48
20140617,2920.36,2932.49,2933.95,2911.47,5.24K,-0.64
20140618,2919.94,2921.56,2940.25,2915.2,4.83K,-0.01
20140619,2847.53,2920.2,2920.9,2839.76,5.57K,-2.48
20140620,2849.43,2843.72,2852.12,2828.6,3.50K,0.07
20140623,2861.11,2851.75,2869.71,2851.75,3.97K,0.41
20140624,2874.64,2863.47,2874.64,2853.53,3.68K,0.47
20140625,2854.53,2870.58,2870.58,2843.49,3.57K,-0.7
